category,source,process,term_id,adjusted_p_value,logAdjustedPValue,term_size,query_size,intersection_size,effective_domain_size,intersections
Brain Bank REACTOME,REAC,Metabolism,REAC:R-HSA-1430728,7.41E-07,6.13032973,2075,480,146,10770,ENSG00000152207
Brain Bank REACTOME,REAC,Metabolism,REAC:R-HSA-1430728,7.41E-07,6.13032973,2075,480,146,10770,ENSG00000155380
Brain Bank REACTOME,REAC,Metabolism,REAC:R-HSA-1430728,7.41E-07,6.13032973,2075,480,146,10770,ENSG00000004799
Brain Bank REACTOME,REAC,Metabolism,REAC:R-HSA-1430728,7.41E-07,6.13032973,2075,480,146,10770,ENSG00000153093
Brain Bank REACTOME,REAC,Metabolism,REAC:R-HSA-1430728,7.41E-07,6.13032973,2075,480,146,10770,ENSG00000138074
Brain Bank REACTOME,REAC,Metabolism,REAC:R-HSA-1430728,7.41E-07,6.13032973,2075,480,146,10770,ENSG00000229894
Brain Bank REACTOME,REAC,Metabolism,REAC:R-HSA-1430728,7.41E-07,6.13032973,2075,480,146,10770,ENSG00000196498
Brain Bank REACTOME,REAC,Metabolism,REAC:R-HSA-1430728,7.41E-07,6.13032973,2075,480,146,10770,ENSG00000187566
Brain Bank REACTOME,REAC,Metabolism,REAC:R-HSA-1430728,7.41E-07,6.13032973,2075,480,146,10770,ENSG00000103257
Brain Bank REACTOME,REAC,Metabolism,REAC:R-HSA-1430728,7.41E-07,6.13032973,2075,480,146,10770,ENSG00000009950
Brain Bank REACTOME,REAC,Metabolism,REAC:R-HSA-1430728,7.41E-07,6.13032973,2075,480,146,10770,ENSG00000196502
Brain Bank REACTOME,REAC,Metabolism,REAC:R-HSA-1430728,7.41E-07,6.13032973,2075,480,146,10770,ENSG00000127415
Brain Bank REACTOME,REAC,Metabolism,REAC:R-HSA-1430728,7.41E-07,6.13032973,2075,480,146,10770,ENSG00000176920
Brain Bank REACTOME,REAC,Metabolism,REAC:R-HSA-1430728,7.41E-07,6.13032973,2075,480,146,10770,ENSG00000131730
Brain Bank REACTOME,REAC,Metabolism,REAC:R-HSA-1430728,7.41E-07,6.13032973,2075,480,146,10770,ENSG00000110090
Brain Bank REACTOME,REAC,Metabolism,REAC:R-HSA-1430728,7.41E-07,6.13032973,2075,480,146,10770,ENSG00000161267
Brain Bank REACTOME,REAC,Metabolism,REAC:R-HSA-1430728,7.41E-07,6.13032973,2075,480,146,10770,ENSG00000006071
Brain Bank REACTOME,REAC,Metabolism,REAC:R-HSA-1430728,7.41E-07,6.13032973,2075,480,146,10770,ENSG00000176383
Brain Bank REACTOME,REAC,Metabolism,REAC:R-HSA-1430728,7.41E-07,6.13032973,2075,480,146,10770,ENSG00000141837
